#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
124,Jamaica,"150,307",+127,"3,268 ",+1,"97,095",+83,"49,944",,"50,282","1,093","1,173,139","392,447","2,989,290 ",North America,20,915,3,42,0.3,"16,708"
125,Cambodia,"137,668",+7,"3,056 ",,"134,507",+11,105,,"7,993",177,"3,051,743","177,194","17,222,587 ",Asia,125,"5,636",6,0.4,,6
126,Rwanda,"132,455",+2,"1,466 ",,"130,901",,88,,"9,703",107,"5,769,081","422,608","13,651,144 ",Africa,103,"9,312",2,0.1,,6
127,Cameroon,"121,652",,"1,935 ",,"118,616",,"1,101",13,"4,347",69,"1,751,774","62,598","27,984,311 ",Africa,230,"14,462",16,,,39
128,Malta,"114,151",+16,802 ,,"112,855",+23,494,4,"257,038","1,806","2,046,915","4,609,120","444,101 ",Europe,4,554,0,36,,"1,112"
129,Angola,"102,636",,"1,917 ",,"100,437",,282,,"2,925",55,"1,499,795","42,739","35,092,021 ",Africa,342,"18,306",23,,,8
130,Barbados,"101,510",+59,544 ,,"100,175",+85,791,,"352,294","1,888","757,104","2,627,556","288,140 ",North America,3,530,0,205,,"2,745"
131,French Guiana,"93,735",,408 ,,"11,254",,"82,073",3,"297,067","1,293","650,106","2,060,329","315,535 ",South America,3,773,0,,,"260,107"
132,DRC,"92,711",,"1,405 ",,"83,504",,"7,802",,971,15,"846,704","8,867","95,489,131 ",Africa,"1,030","67,964",113,,,82
133,Channel Islands,"89,930",+273,198 ,,"89,356",+231,376,,"507,074","1,116","1,252,808","7,064,003","177,351 ",Europe,2,896,0,"1,539",,"2,120"
134,Senegal,"88,132",+30,"1,968 ",,"86,026",+41,138,,"4,978",111,"1,146,543","64,760","17,704,465 ",Africa,201,"8,996",15,2,,8
135,Malawi,"87,908",+7,"2,678 ",,"84,928",,302,67,"4,351",133,"610,953","30,236","20,206,044 ",Africa,230,"7,545",33,0.3,,15
136,Ivory Coast,"86,824",+3,819 ,,"85,972",+31,33,,"3,123",29,"1,613,777","58,049","27,800,207 ",Africa,320,"33,944",17,0.1,,1
137,Suriname,"81,039",,"1,383 ",,"49,614",,"30,042",,"135,501","2,312","238,852","399,371","598,071 ",South America,7,432,3,,,"50,231"
138,French Polynesia,"76,500",+16,649 ,,N/A,N/A,N/A,7,"268,948","2,282",,,"284,442 ",Australia/Oceania,4,438,,56,,"148,892"
139,New Caledonia,"73,798",,314 ,,"73,032",,452,9,"253,192","1,077","98,964","339,533","291,471 ",Australia/Oceania,4,928,3,,,"1,551"
140,Eswatini,"73,368",,"1,422 ",,"71,923",,23,11,"61,846","1,199","1,043,970","880,016","1,186,308 ",Africa,16,834,1,,,19
141,Guyana,"71,102",+2,"1,279 ",,"69,620",+5,203,,"89,458","1,609","689,215","867,143","794,811 ",South America,11,621,1,3,,255
142,Belize,"68,350",,680 ,,"67,542",,128,6,"165,360","1,645","576,016","1,393,565","413,340 ",North America,6,608,1,,,310
143,Fiji,"68,177",,878 ,,"66,192",,"1,107",,"74,872",964,"652,851","716,961","910,581 ",Australia/Oceania,13,"1,037",1,,,"1,216"
144,Madagascar,"66,640",,"1,410 ",,"65,196",,34,2,"2,279",48,"511,408","17,490","29,240,698 ",Africa,439,"20,738",57,,,1
145,Sudan,"63,266",+38,"4,961 ",,N/A,N/A,N/A,,"1,373",108,"562,941","12,217","46,077,920 ",Africa,728,"9,288",82,0.8,,390
146,Mauritania,"62,771",,993 ,,"61,748",+1,30,,"12,769",202,"952,597","193,786","4,915,713 ",Africa,78,"4,950",5,,,6
147,Cabo Verde,"62,328",,410 ,,"61,847",+4,71,23,"109,515",720,"401,622","705,677","569,130 ",Africa,9,"1,388",1,,,125
148,Bhutan,"61,233",+157,21 ,,"61,145",+184,67,,"77,500",27,"2,303,734","2,915,750","790,100 ",Asia,13,"37,624",0,199,,85
149,Syria,"57,098",+13,"3,163 ",,"53,609",+42,326,,"3,099",172,"146,269","7,938","18,426,109 ",Asia,323,"5,826",126,0.7,,18
150,Burundi,"49,370",,38 ,,"48,578",,754,,"3,899",3,"345,742","27,306","12,661,756 ",Africa,256,"333,204",37,,,60
151,Gabon,"48,649",,306 ,,"48,067",,276,,"20,790",131,"1,614,329","689,867","2,340,058 ",Africa,48,"7,647",1,,,118
152,Seychelles,"46,081",,169 ,,"45,777",,135,,"462,326","1,696",,,"99,672 ",Africa,2,590,,,,"1,354"
153,Andorra,"46,027",,154 ,,"45,791",,82,14,"593,636","1,986","249,838","3,222,302","77,534 ",Europe,2,503,0,,,"1,058"
154,Curaçao,"45,127",,282 ,,"44,720",,125,3,"272,583","1,703","496,693","3,000,205","165,553 ",North America,4,587,0,,,755
